CustomerID,LookalikeCustomerID,SimilarityScore
C0001,C0011,0.9431454687496826
C0001,C0152,0.9033805495563829
C0001,C0174,0.8966074620310159
C0002,C0027,0.9516313365314389
C0002,C0106,0.9132528451355534
C0002,C0134,0.8812696657217913
C0003,C0190,0.9388291955958772
C0003,C0031,0.9145604783715088
C0003,C0076,0.9034639885049026
C0004,C0165,0.9864762121796201
C0004,C0113,0.9822359147119915
C0004,C0102,0.9399674098373052
C0005,C0159,0.9765343059848534
C0005,C0007,0.9637458749116489
C0005,C0193,0.9005996675770234
C0006,C0187,0.9242114782232502
C0006,C0126,0.8492749492060403
C0006,C0158,0.8338600775979209
C0007,C0005,0.9637458749116489
C0007,C0159,0.907135217106263
C0007,C0193,0.8789329535061196
C0008,C0024,0.856115084875115
C0008,C0156,0.852886557010499
C0008,C0084,0.8329513289036392
C0009,C0063,0.9395235694537487
C0009,C0167,0.8931238532485724
C0009,C0061,0.8729268402208905
C0010,C0121,0.9276992923737677
C0010,C0060,0.9058313511252577
C0010,C0073,0.8866004556755581
C0011,C0107,0.9658610364048608
C0011,C0001,0.9431454687496826
C0011,C0152,0.8557229082503013
C0012,C0087,0.9395472314297402
C0012,C0013,0.9245787881455837
C0012,C0039,0.9134307518783004
C0013,C0087,0.9543753948492162
C0013,C0012,0.9245787881455837
C0013,C0126,0.8673696647886573
C0014,C0097,0.9149610567072503
C0014,C0033,0.9076023840397639
C0014,C0063,0.8962710101319084
C0015,C0020,0.9777067571942372
C0015,C0058,0.9269487213662458
C0015,C0036,0.8541683982247988
C0016,C0183,0.9043510788867072
C0016,C0185,0.8841681470440403
C0016,C0050,0.8820478906970914
C0017,C0075,0.9470090134297501
C0017,C0041,0.9097884067410149
C0017,C0124,0.9038316174727657
C0018,C0046,0.9031725551692382
C0018,C0194,0.759083648890374
C0018,C0182,0.7487405156047715
C0019,C0086,0.9030828687710794
C0019,C0010,0.8652810322819168
C0019,C0199,0.8341528744076159
C0020,C0015,0.9777067571942372
C0020,C0058,0.9382014035589811
C0020,C0080,0.8848017483509873
